lat,lng,nome_ti,FASE,pop_idg_2022,pop_idg_2010,crescimento_2010_2022,var_pct
-23.942042285600504,-46.620153782367666,Tenondé Porã (1),Declarada,548.0,,,
-21.250073523812542,-52.13386495661926,Ofayé-Xavante (1),Regularizada,,,,
-3.453784808094588,-51.75787310455696,Paquiçamba (1),Declarada,34.0,,,
-27.146696560515398,-52.45235090550363,Pinhal (1),Regularizada,100.0,,,
-23.76406102803223,-54.53790029514418,Yvy-Katu (1),Declarada,921.0,,,
-24.534474357910277,-48.215889638140844,Takuari (1),Encaminhada RI,91.0,,,
-27.864718490269407,-51.77223052044744,Passo Grande do Rio Forquilha (1),Declarada,74.0,,,
-1.548412549149381,-66.62348340008201,Uneiuxi (1),Declarada,204.0,,,
-11.075670273438524,-64.68158344993714,Rio Negro Ocaia (1),Declarada,157.0,,,
-20.247140738543788,-56.050043133014896,Taunay/Ipegue (1),Declarada,488.0,,,
-8.532694601907295,-39.34962208185528,Truká (1),Declarada,1598.0,,,
-9.388532522367695,-36.62603514392494,Xukuru-Kariri (1),Declarada,957.0,,,
-29.866832977414283,-50.15407878438827,Estrada do Mar (1),Regularizada,105.0,,,
-29.363841444677927,-49.795707464574654,Campo Bonito (1),Regularizada,129.0,,,
-2.64138812803242,-52.132274647976686,Juruna do Km 17 (1),Encaminhada RI,108.0,,,
-3.1824529317894394,-39.43368862110924,Tremembé da Barra do Mundaú (1),Declarada,542.0,,,
-27.29828089403684,-48.740967768370076,Canelinha (1),Regularizada,,,,
-0.3215664410954656,-57.25689800524182,Kaxuyana-Tunayana (1),Declarada,749.0,,,
-9.264621665691676,-38.197400752307686,Fazenda Cristo Rei (1),Encaminhada RI,170.0,,,
-23.952718858016325,-47.5556248746588,Tekoa Gwyra Pepo (1),Regularizada,142.0,,,
-26.883240571141616,-49.704118423783164,Barragem Norte (1),Encaminhada RI,538.0,,,
-3.0935106732200754,-40.02466942604912,Tremembé de Queimadas (1),Declarada,290.0,,,
-10.137729312592011,-36.83471538286414,Kariri-Xocó (1),Declarada,558.0,,,
-6.0271997649495335,-44.772361432029136,Krenyê (1),Regularizada,83.0,,,
-20.91189425991427,-55.16582737681588,Buriti (1),Declarada,163.0,,,
-12.407224767805516,-60.01415186278482,Uty-Xunaty (1),Encaminhada RI,,,,
-21.945603458286534,-46.33250321426327,Fazenda Boa Vista - MG (1),Regularizada,107.0,,,
-0.9676592969594409,-65.22208062451806,Jurubaxi-téa (1),Declarada,656.0,,,
-3.5550704284174657,-67.01602230090485,Riozinho (1),Declarada,125.0,,,
-9.22445271510377,-38.30245227734222,Quixaba (1),Encaminhada RI,61.0,,,
-8.302830990189323,-71.80414535850608,Rio Gregório (1),Declarada,343.0,,,
-11.028844107231397,-44.74949437171697,Fazenda Jenipapeiro (1),Encaminhada RI,30.0,,,
-12.177798863779987,-43.271701871208826,Fazenda Sempre Verde (1),Regularizada,15.0,,,
-20.471126657258928,-45.04589996308769,Muã Mimatxi (Fazenda Modelo Diniz) (1),Regularizada,29.0,,,
-8.603809443644165,-39.573002536679994,Ilhas da Tapera/São Félix/Porto (1),Encaminhada RI,136.0,,,
-29.628010311283933,-50.405949320645426,Riozinho - RS (1),Regularizada,,,,
-23.729144436133755,-45.79759857256001,Guarani do Ribeirão Silveira (1),Regularizada,318.0,,,
-8.68958564653791,-41.353678474201274,Kariri de Serra Grande (1),Encaminhada RI,114.0,,,
-3.921334671830641,-48.683326379930534,Amanayé (1),Encaminhada RI,69.0,,,
-9.046125446858406,-35.71378245748093,Wassu Cocal,Regularizada,1837.0,2082.0,-245.0,-11.77
-8.871355462564049,-49.69978614678215,Maranduba,Regularizada,22.0,,,
-25.23899743200599,-54.315245056140405,Avá-Guarani do Ocoí,Regularizada,503.0,630.0,-127.0,-20.16
-25.893407487830626,-52.32600658968326,Mangueirinha,Regularizada,1994.0,1475.0,519.0,35.19
-23.28367397505352,-50.40833461702971,Laranjinha,Regularizada,221.0,200.0,21.0,10.5
-25.761653153114406,-51.23916755201242,Rio Areia,Regularizada,111.0,112.0,-1.0,-0.89
-24.238344603034495,-50.96684471874883,Queimadas,Regularizada,648.0,429.0,219.0,51.05
-23.661757168110764,-50.87789545393335,Barão de Antonina,Regularizada,467.0,491.0,-24.0,-4.89
-24.586865790566666,-51.586077035833114,Ivai,Regularizada,1886.0,1687.0,199.0,11.8
-25.055470658954032,-51.40276415905912,Marrecas,Regularizada,497.0,551.0,-54.0,-9.8
-23.74270543341635,-50.75855274191857,São Jerônimo,Regularizada,554.0,494.0,60.0,12.15
